session_test_id,participant_id,session_uuid,trial_id,question_name,label,answer,response_time
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,age_range,"Age range",25_34,123383
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,gender,Gender,male,123383
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,123383
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","sennheiser hd650s",123383
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",0,123383
hp_ABX_passivetest,hp_mpaa7ht0_ue5boosy,16c29520-2cec-45f3-b42e-8df0d8a0e278,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",0,123383
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,age_range,"Age range",18_24,41281
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,gender,Gender,male,41281
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,41281
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","senheiser HD650",41281
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?","6 ",41281
hp_ABX_passivetest,hp_mpaylujd_2il4k19e,41414fef-e70e-4053-9694-33274805442f,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",0,41281
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,age_range,"Age range",25_34,118398
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,gender,Gender,male,118398
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,118398
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","Sennheiser HD650",118398
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?","6 ",118398
